Month Year  EOF-1  EOF-2  EOF-3  EOF-4  EOF-5  EOF-6  EOF-7  EOF-8  EOF-9 EOF-10
    1 1979 -38.88  23.00  -4.88 -10.59   1.17   3.57   0.50   4.52  -0.14   0.25
    2 1979 -28.90  17.48   2.57  -5.27   4.91   1.18  -4.33   3.75   0.44   0.43
    3 1979 -38.50   9.44  -9.68  -1.72   0.02   3.23  -2.99   1.76  -0.24  -0.18
    4 1979 -36.74   9.09 -11.17   0.81  -5.11   2.52  -1.37   1.50  -1.23   0.01
    5 1979 -34.58   0.49  -6.82   6.42  -4.49   1.74  -0.01   0.21   0.06   0.11
    6 1979 -22.86 -13.14   0.63   4.65   0.08  -3.54  -0.90  -0.52   2.25  -0.91
    7 1979 -22.21 -25.16   1.98  -3.18   6.00  -2.45   0.01  -0.45   1.63  -0.82
    8 1979 -21.46 -31.46  -4.76  -5.49   2.68   1.02  -0.53   2.20   1.23  -0.62
    9 1979 -23.06 -32.91  -4.51  -9.35   5.65  -2.36   3.32  -0.99   3.11  -0.58
   10 1979  -1.86 -40.14   2.86  -8.14   3.34  -0.11   0.95  -1.57   2.74  -0.78
   11 1979  16.96 -46.09  -0.39  -0.30   0.50   3.63   3.03  -1.07   0.92  -0.63
   12 1979  30.40 -29.72 -14.42   0.03   0.20   8.27   7.44  -0.90   0.09   0.43
    1 1980  32.68  -9.81 -18.09  -6.73   0.46  -2.60   4.55  -4.43   3.60  -0.50
    2 1980  38.37 -16.18 -10.45  -0.48   8.31  -3.23   1.02  -1.82   0.65  -0.29
    3 1980  43.49 -14.12  -4.69  -2.96   6.66  -1.75   0.31  -0.55   0.60   0.02
    4 1980  49.90  -9.26  -1.42  -8.83   6.34  -0.55  -0.53  -0.26  -0.16  -0.05
    5 1980  45.30   4.13   3.29  -9.46  -1.24   4.63   1.59   0.41  -1.23  -0.08
    6 1980  35.45  26.43   5.72  -4.14  -2.48   5.60   2.50   3.50  -1.68   0.08
    7 1980  21.05  28.39  -3.39  -5.18  -8.70   1.47   1.17   2.57   0.81  -0.44
    8 1980   8.04  33.52  -6.50  -0.27  -0.35   0.55   0.95   2.27   1.78  -0.01
    9 1980   7.52  35.84 -10.17  -0.19  -6.06  -2.16   1.39   0.65   3.19  -0.34
   10 1980   7.33  34.08  -7.04   4.66   0.96  -0.47   1.69   0.86   2.08  -0.13
   11 1980   2.68  31.21  -1.45   2.93   1.89  -1.23   1.65   1.80   1.09  -0.08
   12 1980   2.62  22.63  15.03  -2.08   4.64  -1.47   3.67   2.80   0.81   0.75
    1 1981  -6.53  21.37   5.09  -2.35   2.35  -0.21  -0.86   1.08  -0.04   0.35
    2 1981  -9.62  29.46 -11.68   2.81   0.92   5.01   1.87   1.53  -0.09   0.15
    3 1981 -10.07  25.21 -10.27   2.27  -1.89  -0.69   2.89  -0.80   0.54  -0.09
    4 1981 -20.83  24.63  -4.07  -0.44   3.40  -3.23  -2.05   0.25  -0.37   0.19
    5 1981 -29.03  17.32   0.53   3.95  -2.83   0.69  -1.35  -0.16  -0.31   0.02
    6 1981 -29.49  -0.98   4.93   1.99  -4.18   1.11   3.97   1.11   0.27  -0.30
    7 1981 -11.07 -17.90  26.97   8.63   0.69  -5.08   0.66  -0.23   2.79  -0.39
    8 1981 -16.87 -19.13  18.42   6.26   0.26  -1.01   1.28   1.99   0.12  -0.30
    9 1981 -13.45 -28.87  24.33  -0.13  -1.38  -5.76  -2.29   1.54   0.59   0.12
   10 1981 -12.04 -31.78  25.58   2.32  -3.10  -4.93  -1.56   2.85   0.88   0.22
   11 1981  -9.40 -40.02  25.98   1.40   3.52  -7.18   0.19   1.51   0.90   0.01
   12 1981  -8.00 -37.01  11.26   5.10  -0.48   2.59  -5.58   3.08   2.13   0.04
    1 1982 -18.43 -36.95   7.04   5.90   1.54   2.79  -1.93   3.58   0.48   0.11
    2 1982 -26.17 -37.88   7.73   0.92   2.36   3.68   2.62   2.44   1.01  -0.11
    3 1982 -11.89 -42.26  11.60   4.65   6.32  -0.25  -3.01   1.05  -0.21   0.30
    4 1982  -9.06 -50.19   7.06  -0.63   4.78  -2.23  -6.49  -1.30   2.65  -0.06
    5 1982  13.55 -44.43   1.05   2.75   4.91   7.98  -7.09  -0.73  -2.55  -0.01
    6 1982  42.88 -48.99   9.28  -1.59   2.50   3.84   9.19  -4.94   2.94  -0.61
    7 1982  43.84 -22.09 -12.58  -6.42  -6.39   8.24   2.07   0.46  -0.07  -0.53
    8 1982  52.19  -8.05  -4.28 -16.86  -2.56   2.01   0.33   0.84   1.91  -0.81
    9 1982  58.53  -4.94  10.27 -14.75  -0.76   1.03  -3.80   3.28   1.28  -0.42
   10 1982  44.18  13.92  10.41  -9.06   2.26   6.27   1.77   4.28  -1.03   0.22
   11 1982  38.14  17.98  13.45   1.19   3.24   5.61   2.21   4.29  -1.48   0.64
   12 1982  37.39  23.22  15.72   6.09   2.18  -0.31   1.35   1.74   0.68   0.21
    1 1983  30.82  22.53  12.51  11.30   5.94   0.50   1.43   1.56   0.72   0.84
    2 1983  23.10  22.30   5.05  11.17   2.56   4.48   3.17   0.92  -0.03   0.10
    3 1983  14.70  26.15   4.19   5.65  -3.30   4.69   1.41   1.15  -1.42   0.87
    4 1983  14.82  26.83   1.29   2.92  -4.14   0.18   2.17   1.84  -0.62   0.59
    5 1983 -10.79  30.07  -0.29   2.51   4.05  -4.82  -3.77  -0.39  -0.22  -0.31
    6 1983 -32.20  22.65  -2.34   3.17   1.91   1.59  -3.66   1.33  -0.54  -0.28
    7 1983 -37.48  17.42   0.25   0.06  -3.07   0.03  -1.93   1.26   1.54  -0.42
    8 1983 -42.12   7.26   1.50   0.44  -5.13  -1.08  -2.94   0.67   2.61  -0.51
    9 1983 -44.73   6.65   2.96  -2.68  -3.19  -1.35  -0.17   1.27   1.02  -0.06
   10 1983 -37.73  -4.34   7.95  -2.82  -5.65  -1.33  -3.14   0.10   1.35  -0.30
   11 1983 -39.78 -10.83   8.35  -1.50  -0.33  -0.38   2.45  -0.60  -0.79   0.25
   12 1983 -24.85 -26.05  23.67  -4.75   2.16  -4.18   7.93   0.08   1.86   0.16
    1 1984 -35.64 -23.16   9.99  -0.35   2.73  -1.14   5.02  -0.39   0.55   0.76
    2 1984 -39.84 -22.54   5.67  -2.20  -2.05   1.18   5.40  -0.40  -0.99   0.59
    3 1984 -42.97 -19.02   0.24  -3.40 -10.53   2.03   2.98   1.33   0.76  -0.74
    4 1984 -34.91 -28.22   6.30  -0.61  -3.12  -3.36   5.63   1.49  -1.76   0.71
    5 1984 -28.44 -37.10   1.47   1.19   5.60  -7.27   4.59  -1.17  -0.32   0.07
    6 1984 -15.78 -43.17  -0.82   1.05   6.73  -3.53  -6.49  -1.99   0.63   0.24
    7 1984  -6.73 -44.45  -6.67   2.35   5.72   3.78  -6.04  -1.61   0.71   0.24
    8 1984   8.22 -47.08  -9.34   3.82   2.10   4.74  -5.06  -1.70  -0.35   1.02
    9 1984  20.45 -48.08 -12.08   2.59  -3.81   6.50   2.26  -1.92   0.80   0.43
   10 1984  30.13 -41.75 -14.84  -0.23 -10.86   2.59   2.06  -1.75   0.03   0.78
   11 1984  41.49 -24.98 -15.93  -8.96   2.20  -3.70  -1.28   2.52  -0.24   0.37
   12 1984  49.63 -15.54 -12.09  -6.04   4.48  -2.67  -1.59  -0.45   0.14   0.29
    1 1985  50.63  -9.67  -6.57  -4.89   7.38   0.11  -0.34  -2.84   1.71   0.23
    2 1985  41.63  -4.90   1.60  -8.40   0.05   0.27  -2.43  -6.40   0.39   0.43
    3 1985  53.54   3.44  16.41  -4.88   0.67   5.25   1.50  -0.54  -0.66  -0.10
    4 1985  56.84   9.70  17.39  -3.02 -10.41  -5.82  -1.02  -2.24   0.47   0.09
    5 1985  52.40  18.74  18.01   6.99  -0.57   0.05   3.54   0.81   0.81  -0.50
    6 1985  43.37  22.96  11.49  -1.00 -10.70  -3.79   0.09  -0.34   0.16  -0.01
    7 1985  26.77  30.23   4.47   8.67  -1.05  -0.52   1.83   0.95   2.28  -0.21
    8 1985  21.01  27.64   4.05   9.03  -0.78  -2.89  -0.95  -0.83   2.11   0.19
    9 1985  13.97  28.94   1.17  11.47   2.86   0.12  -2.37   0.91   0.57   0.67
   10 1985   0.52  31.95  -2.23   4.41   1.11  -0.74  -1.29   0.47   0.86   0.33
   11 1985 -15.07  32.22  -2.62  -1.78   4.11   1.02  -3.82   1.57  -0.60   0.17
   12 1985 -23.58  29.86  -0.51 -10.48   4.61   1.80  -1.46   3.14   0.75   0.18
    1 1986 -15.65  33.03  -2.41  -6.33   4.71  -1.04   4.03   0.40  -0.88   1.53
    2 1986 -13.84  33.94  -5.94  -2.95   1.64   0.34   4.10   0.73   1.60  -0.16
    3 1986 -21.16  30.63  -5.07  -4.34   1.29  -4.42  -1.05  -0.59  -0.20   0.13
    4 1986 -30.34  27.41  -0.83  -8.13   4.56   0.27  -4.06   4.05   0.49   0.25
    5 1986 -35.74  21.93   0.28  -1.70  -0.31  -1.96  -5.00  -2.65   0.84  -0.23
    6 1986 -43.91  12.61  -4.95   4.95  -2.41   1.00  -1.98  -2.12   1.35  -0.16
    7 1986 -47.06   8.64  -3.72   6.46  -1.84   3.73  -0.11   0.10   0.76   0.31
    8 1986 -51.01   6.67  -5.85  -5.36 -13.37   1.06  -1.96   0.92   1.24  -0.33
    9 1986 -53.54   3.78  -7.29  -1.38  -6.42   1.48  -1.43  -1.00   0.11   0.44
   10 1986 -51.71   1.07  -4.45   1.51  -3.90   2.15  -0.85  -0.00   1.22   0.03
   11 1986 -45.54  -7.94   1.73   1.24   1.39   1.16   2.54   1.01   1.07   0.53
   12 1986 -45.16 -13.88   2.03  -2.15  -0.66   3.22   5.68   2.28   1.34   0.41
    1 1987 -43.23 -18.58   2.33   2.79   1.25   0.53   4.78   0.33   0.44   0.33
    2 1987 -31.33 -26.59   5.13   4.59   1.87   2.10   0.97   1.83  -0.42   0.51
    3 1987 -38.10 -26.67   2.22   1.09   5.06   3.55   7.64   3.67   0.23  -0.07
    4 1987 -24.76 -37.61   3.47  -6.83   5.05  -0.57   4.90   1.79   0.33  -0.01
    5 1987   2.76 -46.28   4.32  -0.18  10.45   2.08  -5.02  -0.58   0.25   0.05
    6 1987  24.89 -35.51 -10.37  -0.94  -4.33   5.25   1.05  -1.08   0.04  -0.02
    7 1987  38.98 -18.81 -17.14  -8.13   3.69   8.73   1.49   3.85  -1.23   0.11
    8 1987  47.35  -3.28  -5.36 -16.48   3.95   5.63  -1.12  -1.23   1.44  -0.28
    9 1987  46.45   9.81   8.07 -14.37  -2.88   4.88   0.41   0.93  -1.89   1.10
   10 1987  41.10  15.86  14.12  -8.87  -5.05   7.92   3.45   5.88  -0.85   0.59
   11 1987  33.43  16.63  11.79  -1.11  -5.89   3.14   1.04   2.96  -0.67  -0.71
   12 1987  23.32  13.50   8.99   4.83  -0.27   2.78   1.51   2.06   0.63   0.35
    1 1988  26.46  11.76  10.97   4.99  -5.65   1.48   0.73   0.89   1.02  -0.65
    2 1988  11.69  11.43   7.72   8.64   2.57  -0.71   0.65  -0.96   0.62  -0.17
    3 1988   3.70  12.38   6.16  -5.63  -3.15  -3.26  -0.07  -0.40   1.20  -0.17
    4 1988  -6.33  13.79   4.85  -7.67   3.33  -0.20  -0.65   2.48   1.72   0.26
    5 1988 -17.51  19.10   6.68 -14.41   0.12  -2.14  -4.12   0.75   0.39  -0.05
    6 1988 -28.93  20.15   5.86  -5.50   4.49  -0.31  -4.16   0.87   0.18  -0.28
    7 1988 -35.42  14.98   7.87  -2.29   3.43   0.67  -2.23   0.20  -0.32   0.25
    8 1988 -40.25  16.04   5.02  -8.25   2.48  -1.88  -2.03   0.89   0.58   0.03
    9 1988 -46.83  19.76  -0.07 -11.41  -0.54  -4.01  -3.70  -0.63  -0.13  -0.26
   10 1988 -45.63  15.76  -1.43 -13.49  -7.62  -3.49  -3.60  -1.01  -1.70  -0.19
   11 1988 -38.16   8.17   9.25 -12.77  -6.42  -4.23  -1.14  -0.99   0.02  -0.65
   12 1988 -39.57   6.98  11.02  -6.37   4.79   4.54   2.97   2.01  -0.26   0.49
    1 1989 -30.65  -0.41  14.12  -7.18  -6.65  -0.96  -3.01  -1.06   0.42  -0.00
    2 1989 -41.48  11.74   0.23 -11.78  -7.42  -0.06  -4.62  -0.48  -0.56  -0.64
    3 1989 -42.95  12.49  -1.76  -4.50   1.57   4.77  -2.88   1.41  -0.84  -0.26
    4 1989 -42.38   6.10  -3.88  -2.05  -6.67   0.58  -4.19  -1.32  -0.56  -0.27
    5 1989 -31.80 -10.24   4.62  -3.05  -8.54  -0.88  -1.67  -0.58   0.37  -0.54
    6 1989 -36.83 -15.36   1.66   0.47   4.65  -0.12   4.91   0.76   0.94  -0.40
    7 1989 -28.77 -26.90   7.78  -4.79   0.66  -3.96   0.68   0.89   1.06  -0.04
    8 1989 -13.58 -34.42  12.61   4.13   6.55  -0.70  -0.30   1.22   2.32  -0.04
    9 1989 -16.38 -37.57   5.04  -2.64   4.12  -1.45  -1.88  -0.38   2.92  -0.47
   10 1989  -4.88 -39.37  -0.88  -4.13  -0.98   2.11  -0.04  -0.77   2.76  -0.61
   11 1989  14.89 -38.42  -2.08   1.87  -3.02   3.06   1.32  -0.72   2.10  -0.60
   12 1989  31.58 -32.65  -7.98  11.08  -1.03   2.75   3.81  -1.53   1.90   0.05
    1 1990  38.96 -25.25  -8.42  -2.04  -8.31  -5.70  -0.08  -0.65   2.92  -1.04
    2 1990  42.02 -25.44  -8.43  -1.78   3.05   3.31   2.21  -0.27   1.17   0.52
    3 1990  55.18 -16.01  -4.45  -3.96   6.77  -4.44  -1.29  -3.34   2.61  -0.93
    4 1990  54.83  -4.74   2.87  -6.26   3.56   0.47   0.01  -0.87  -0.56   0.21
    5 1990  46.39  14.01   6.24  -6.43  -3.65   4.24   2.19   2.28  -2.08   0.06
    6 1990  44.72  28.31  11.56  -0.50  -4.06   0.21   1.50   2.19  -0.09  -0.33
    7 1990  28.88  27.33   3.33   3.83  -1.03  -0.62   1.52   2.72   1.52  -0.47
    8 1990  22.49  31.59  -1.39  -0.69  -7.19  -3.81   0.78   1.40   3.42  -0.68
    9 1990  13.02  32.07  -6.33  -0.58  -6.52  -2.29   0.92   0.26   2.47  -0.46
   10 1990  13.77  33.30  -8.75   7.75   1.41   0.70   3.22   0.62   1.85  -0.23
   11 1990   2.18  37.79 -12.96   6.03  -3.09  -0.36   1.02   0.14   1.68  -0.41
   12 1990 -11.06  34.60 -14.53   3.13   1.62   0.62  -0.72   0.40   1.05   0.18
    1 1991  -6.75  28.92 -13.17  -1.76  -3.57   0.42  -0.93   0.29   0.85   0.03
    2 1991  -3.35  30.66  -9.53   4.28  -2.22  -0.90   0.42  -0.20   1.40  -0.03
